名称,法人,注册资本,注册时间,电话,souji1,邮箱,统一信用代码,企业类型,行业,注册地址,经营范围,省份,城市,区
浙江智莱科技有限公司,周煊,1000万元人民币,2017/12/11,13656816985,,,91330481MA2B8WNT5E,有限责任公司(自然人投资或控股),科技推广和应用服务业,浙江省嘉兴市海宁市长安镇(农发区)启辉路28号4幢501室、5幢101室,汽车整车及零部件、非道路车辆整车及零部件、智能服务机器人整机及零部件的研发、销售与技术服务；汽车清洁与租赁服务；智能服务机器人租赁服务；从事各类商品及技术的进出口业务（国家禁止或限制的除外；涉及前置审批的除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,浙江,嘉兴市,海宁市
南京迪勤科技有限公司,张莉,200万元人民币,2008/3/6,13512530640,025-56695376；,787970466@qq.com,913201166713159438,有限责任公司(自然人投资或控股),批发业,南京市江北新区大厂街道杨新路252号-148,光学仪器、电子产品、通信产品研发、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,六合区
浙江威滋曼实业有限公司,王富永,5000万元人民币,2016/7/11,13857368596,,,91330483MA28AHAP7J,有限责任公司(自然人独资),零售业,浙江省嘉兴市桐乡市梧桐街道齐富路412号思科创业园8号东区1-3层,服装、服饰、床上用品的生产、销售；纸制品、日用品、化妆品、面料、纺织原料（除棉花的收购）、食品、酒水的销售；装饰工程设计、施工；企业管理咨询；餐饮管理；软件开发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,浙江,嘉兴市,桐乡市
潜山市恒美刷业有限公司,徐海生,208万元人民币,2014-10-28,13955603228,,13955603228@139.com,91340824394422096U,有限责任公司(自然人投资或控股),其他制造业,安徽省安庆市潜山市源潭镇源潭大道99号,工业毛刷、环卫刷、条刷、抛光刷、刷丝、矿山机电配件加工、销售；塑料制品销售；劳保用品、口罩加工、销售；无纺布销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,安徽,安庆市,潜山市
芯云纳米技术(苏州)有限公司,张光华,500万元人民币,2014/8/4,18621539770,13962520718；,,91320594313806347G,,,,,,,
嘉善五友纺织有限公司,吴震希,500万元人民币,2011/12/2,0573-84639039,0573-84912823；13705730388；,,91330421586295829Y,有限责任公司(自然人投资或控股),纺织业,嘉善县天凝镇东信路178号,生产、销售：纺织品。,浙江,嘉兴市,嘉善县
南京吉腾科技有限公司,周凤伦,301万元人民币,2008/2/25,15094310296,13851671821；13914724012；13913321215；,69191434@qq.com,91320116671310173R,有限责任公司(自然人投资或控股),软件和信息技术服务业,南京市江北新区大厂街道兴达路88号3008室,计算机软硬件开发、销售；机电设备及配件、暖通设备、空调销售、安装、维修；电器、仪表、五金、建材、橡胶制品销售；防腐保温工程、室内外装饰装修工程施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,六合区
连云港取道石英制品有限公司,李杰,2000万元人民币,2013-8-21,13851218086,13851218086；0518-87988898；,845133038@qq.com,913207220763310411,有限责任公司(自然人独资),非金属矿物制品业,连云港市东海县江苏东海经济开发区东区润海工业园一期4号厂房,石英制品、光学元器件加工；硅微粉、光电产品、水晶工艺品、卤素灯管、照明器具、家用电器、钨钼材料、塑料制品、玻璃制品销售；自营和代理各类商品及技术的进出口业务，但国家限定企业经营或禁止进出口的商品和技术除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动）***,江苏,连云港市,东海县
桐乡市宏鸣纺织有限公司,董正洪,380万元人民币,2008/5/19,13857360458,0573-88891183；13600559980；0573-88893321；,593126118@QQ.COM,91330483674795014L,有限责任公司(自然人独资),纺织业,桐乡市梧桐街道百桃工业园区,混纺纱、混纺条、针织服装的生产销售。,浙江,嘉兴市,桐乡市
南京天空雕塑有限公司,吴极国,200万元人民币,2016/1/21,18901583949,,396505292@qq.com,91320111MA1MEP1A18,有限责任公司(自然人独资),文教、工美、体育和娱乐用品制造业,南京市浦口区泰冯路38号,雕刻工艺品、工艺美术品、金属材料、照明电器、家具、五金、电动工具、木制品销售；雕刻艺术创作服务；房屋建筑工程、建筑装修装饰工程、建筑幕墙工程、市政公用工程、土石方工程、园林古建筑工程、钢结构工程、防腐保温工程、建筑防水工程、特种专业工程、机电设备安装工程、金属门窗安装工程、城市及道路照明工程、园林景观工程、园林绿化工程、建筑智能化工程、水利工程、环保工程、地基与基础工程设计、施工.（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,浦口区
泗阳杰宇电子科技有限公司,王建军,500万元人民币,2010-4-13,15896330222,13511787776；13003457372；0527-85621123；13016839888；0527-85217832；18451490626；0527-85624156；,992946520@qq.com,9132132355379033XH,有限责任公司(自然人投资或控股),电气机械和器材制造业 ,泗阳县新袁镇仁和路北首,射频同轴连接器设计、制造、销售；手机天线接头、射频线缆组件、五金加工、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,宿迁市,泗阳县
南京绿康生物科技有限公司,杨丽仙,200万元人民币,2016/1/27,17702517366,13918581904；,1797966624@qq.com,91320191MA1MEXC79K,有限责任公司(自然人投资或控股),科技推广和应用服务业,南京市江北新区高科五路5号29栋110-21室,生物科技、农业科技的技术开发、技术咨询、技术转让、技术服务；牲畜饲养；水产养殖；饲料及饲料添加剂、植物原料的生产、销售；净水设备的销售及技术服务；农作物、苗木的种植、销售；水产品、仪器仪表、五金工具、电子元器件、汽车的销售；自营和代理各类商品及技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,浦口区
桐乡市利星纺织品有限公司,莫根林,1000万元人民币,2017/8/21,13905836565,13806726977；,,91330483MA29HM8D9Q,有限责任公司(自然人投资或控股),批发业,浙江省嘉兴市桐乡市梧桐街道革新村永兴小区菜场二楼,针纺织品、服装、服饰制品及面辅料、纺织原料（除棉花、鲜茧的收购）的销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,浙江,嘉兴市,桐乡市
徐州江宏阀门有限公司,汪贵玲,2000万元人民币,2009-10-27,15952118018,18118510710；,,91320312696702755L,有限责任公司(自然人投资或控股),其他制造业,徐州市铜山区张集姥庙村,阀门、球墨铸管、管件制造、销售，水暖器材、金属制品、橡胶制品、塑料制品、有色金属（贵金属除外）销售，道路普通货物运输。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,铜山区
徐州龙马金属有限公司,刘辉,300万元人民币,2016/4/25,0516-88210765,13905220027；,437956555@qq.com,91320324MA1MJJPY1R,有限责任公司(自然人独资),批发业,睢宁县睢城街道八里钢铁北路西侧,有色金属材料、钢材、建材、五金产品、机械设备、电气设备销售；钢板切割加工、销售；金属结构制造、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,睢宁县
南通正德医疗科技有限公司,谢海朋,2000万元人民币,2018/11/19,0513-87381629,15996655639；,362387992@qq.com,91320682MA1XGC5G1E,有限责任公司(自然人投资或控股),研究和试验发展,南通市如皋市城北街道何庄村16组,"从事医疗科技领域内的技术研究；医用材料的研发、生产与销售；自营和代理各类商品和技术的进出口业务(国家限定和禁止进出口的商品和技术除外)。第二类医疗器械生产；第一类医疗器械生产；第一类医疗器械批发；第一类医疗器械零售；第二类医疗器械批发；第二类医疗器械零售；五金产品批发；五金产品零售；日用百货批发；医用口罩生产；卫生用品和一次性使用医疗用品生产；日用口罩（非医用）生产；劳动保护用品生产；家用纺织制成品制造；医用口罩批发；医用口罩零售；日用口罩（非医用）销售；劳动保护用品销售；医护人员防护用品批发；医护人员防护用品零售；产业用纺织制成品制造；消毒剂销售（不含危险化学品）；卫生用品和一次性使用医疗用品销售(依法须经批准的项目,经相关部门批准后方可开展经营活动)",江苏,南通市,如皋市
江苏立维互联科技有限公司,缪鹏,1000万元人民币,2015/9/18,025-58234369,15005141656；,service@live400.com,913201913532942781,有限责任公司(自然人投资或控股),软件和信息技术服务业,南京市江北新区惠达路6号北斗大厦2楼215室,计算机、智能建筑、机电工程一体化、网络、通讯领域内的技术开发、技术咨询、技术服务、技术转让；计算机软件的研发、设计、制作、销售；计算机硬件及辅助设备、电子产品的研发、销售、系统集成；建筑智能化建设工程设计、施工；商务信息咨询（除经纪），自营和代理各类商品和技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,浦口区
南通博仁汽配有限公司,杨勤俭,5000万元人民币,2018/7/16,0513-82266308,13773855683；,1763225990@qq.com,91320684MA1WWEWX4D,有限责任公司（非自然人投资或控股的法人独资）,,南通市海门市海门街道民生路520号内1号房,汽车零配件、五金制品的制造、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南通市,海门市
苏州谱辰澳斯精密机械有限公司,葛志松,500万元人民币,2017-4-19,13915421380,,shiwenjuan@qq.com,91320506MA1NTCCFX0,有限责任公司(自然人投资或控股),通用设备制造业,苏州市吴中区东山镇西泾路西泾山7幢,"加工、销售:精密机械;销售:五金制品、电子配件、模具、注塑件、金属材料;自营和代理各类商品及技术的进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",江苏,苏州市,吴中区
江苏鸿印隔震制振有限公司,陈佩玉,1500万元人民币,2010-1-11,15896348603,18936994919；15162916458；18251088987；,,91321300699335073X,有限责任公司(台港澳合资),专用设备制造业 ,宿迁经济开发区富民大道金鸡湖路北侧,生产隔震器、阻尼器、消能器、橡胶及金属制品，销售自产产品。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,宿迁市,宿迁经济技术开发区
嘉兴汇能环保科技有限公司,张殿旺,500万元人民币,2008/5/5,0573-8680160,13819074796；0573-86110657；0573-86801162；,,9133042467477415XN,有限责任公司(自然人投资或控股),专业技术服务业,浙江省海盐县杭州湾大桥新区西塘路283号,环境污染防治专用设备、节能电器设备、热处理设备、电镀设备的研发、制造、加工、维修、安装；环保、节能技术咨询服务；热处理技术研发；化工产品的批发、零售（不含危险化学品）。,浙江,嘉兴市,海盐县
江苏金安电气有限公司,姚利兴,6000万元人民币,2017/11/20,13291000958,15062077488；15127779273；,790001301@qq.com,91320381MA1TAR9W2E,有限责任公司(自然人投资或控股),专用设备制造业 ,新沂市无锡-新沂工业园黄山路8号,高压电气产品生产与销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,新沂市
连云港奇胜流体科技有限公司,徐敏敏,1000万元人民币,2017/6/20,13141526180,,lygqslt@163.com,91320700MA1P87EC18,有限责任公司(自然人独资),研究和试验发展,连云港市海州区港城大道百纳水岸4幢301室,流体科技的技术研发 ；流体机械设备、石油化工设备、码头设备、机电设备、环保设备、机械设备、自动化设备及软件、阀门等产品的研发、设计、制造、销售、安装、维修保养；技术咨询、技术服务、技术转让、普通货物吊装、装卸服务；自营和代理各类商品和技术的进出口业务，但国家限定企业经营或禁止进出口的商品和技术除外；商务信息咨询（投资理财除外）；企业管理咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）***,江苏,连云港市,连云区
常熟市欣燕化纤有限公司,钱卫明,400万元人民币,2011-1-28,13962321302,；,410604654@QQ.COM,91320581569129327W,有限责任公司(自然人投资或控股),纺织业,常熟市碧溪新区东张龙桥村,化纤丝加弹、销售；化纤原料销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,苏州市,常熟市
海宁市旭纳纺织助剂有限公司,范蠡,300万元人民币,2017/12/15,13586427986,,,91330481MA2B8YE22D,有限责任公司(自然人独资),批发业,浙江省嘉兴市海宁市浙江海宁经编产业园区经都二路2号经编大厦17层A-1701室,纺织助剂、印染助剂、其他化工产品（以上均不含危险化学品、易制毒化学品及化学试剂等）批发；纺织领域内的技术开发、技术咨询、技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,浙江,嘉兴市,海宁市
徐州天德环保科技有限公司,胡月,200万元人民币,2014/6/30,18118571057,18251743777；,15162216005@qq.com,913203113982320465,有限责任公司(自然人投资或控股),专业技术服务业,睢宁县宁江工业园兴业路一公里处北侧,环保设备研发、制造、销售；气体分离及纯净设备及配件、液体分离及纯净设备及配件、建筑工程用机械及配件、矿山机械设备及配件、电力设备及配件制造、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,睢宁县
南京蛟龙机械有限公司,刘业清,6000万元人民币,2012/10/11,025-58101912,025-58102218；13952065299；,583335408@qq.com,91320111053275489A,有限责任公司(自然人投资或控股),专用设备制造业 ,南京市浦口区汤泉街道龙华村柳塘组,金属加工机械、环境保护专用设备、紧固件制造、销售；金属制品、玻璃制品、模具标准件加工、销售；膜及其相关分离设备研究、开发、生产、销售、安装、技术服务；钢材、管材、建筑材料销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,浦口区
桐乡诗澜服饰有限公司,陈浩,1000万元人民币,2014/3/17,13105511775,13221310610；13732572306；18668367117；,,913304830948561914,有限责任公司(自然人投资或控股),纺织服装、服饰业,桐乡市濮院镇恒业南路126号1幢3号1楼,服装、服饰制品、床上用品的生产销售；针纺织品、围巾、鞋帽、箱包、皮革制品的销售、服装设计。,浙江,嘉兴市,桐乡市
上海龙沁实业发展有限责任公司,张马龙,882万元人民币,2017/1/16,18256186661,,2638394326@qq.com,91310115MA1H8KC84X,有限责任公司(自然人投资或控股),批发业,浦东新区南汇新城镇环湖西二路888号C楼,企业管理咨询，市场营销策划，公关活动策划，医疗器械经营，体育赛事活动策划，展台搭建，会议及展览服务，品牌管理，电子商务（不得从事金融业务），网络科技，设计、制作各类广告，化工原料及产品（除危险化学品、监控化学品、民用爆炸物品、易制毒化学品）、花卉、苗木、工艺品、针纺织品、服装服饰、鞋帽、箱包、家用电器、电子数码产品、文化办公用品、日用百货、汽车配件、厨房设备、五金交电的销售，建筑装饰装修建设工程设计施工一体化，风景园林建设工程专项设计，园林古建筑建设工程专业施工，房屋建设工程施工，公路路面路基建设施工，市,上海,,浦东新区
南京勋昶环保科技有限公司,蒋其波,500万元人民币,2012/12/10,13915965077,13601580189；13770703884；,,91320113057965671U,有限责任公司(自然人投资或控股),科技推广和应用服务业,南京市栖霞区龙潭街道靖安大道2号,环保技术研发；一体化污水处理设备、消毒设备、自动化控制设备、太阳能发电设备、垃圾处理及分类设备、机械设备、工业电炉、钢格板的技术研发、销售和技术服务；日用品、洗化用品、化工用品、计量器具、仪器仪表、办公用品、一类医疗器械、陶瓷、玻璃、塑料制品、纸制品、五金交电、汽车配件、服装服饰、家具建材、包装材料、工艺品、劳保用品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,栖霞区
南京恒企机械设备有限公司,朱召谨,200万元人民币,2017/9/11,13585188186,15895890601；13913010027；,695710470@qq.com,91320192MA1QGA0159,有限责任公司(自然人投资或控股),批发业,南京经济技术开发区龙潭街道张陈路6号陈店村村委会办公楼472室,机械设备、自动化设备、机电产品销售；自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,栖霞区
徐州智行新能源科技有限公司,王意,200万元人民币,2016/7/15,15852289777,18651517565；15162153068；,553839812@qq.com,91320303MA1MPXUE0M,有限责任公司(自然人投资或控股),科技推广和应用服务业,徐州市云龙区万达广场3、4、5商办楼号楼2-912,新能源、二轮电动自行车技术开发、技术转让、技术咨询、技术服务；二轮电动自行车及配件、摄影器材、玩具、电池、二轮摩托车及零配件销售；自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）；工业机器人开发、销售；电力工程施工；汽车租赁；汽车及零配件、建筑工程用机械设备及配件、光伏设备研发及销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,云龙区
南京瑞乾电子科技有限公司,蔡俊峰,500万元人民币,2011/1/17,13913894669,025-83208003；,771605392@qq.com,91320104567212522F,有限责任公司(自然人投资或控股),批发业,南京市秦淮区苏家桥80号,计算机软硬件研发、销售；仪器仪表销售、技术服务、租赁；电子产品销售、技术服务；五金、电器、电子元器件、机电设备、电动工具、电力器材、通信设备销售；计算机系统集成。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,秦淮区
刚需（上海）实业发展有限公司,熊箭飞,500万元人民币,2015/8/11,17316390673,18701853433；13661571190；,1179976230@qq.com,91310120351165413Q,有限责任公司(自然人投资或控股),零售业,中国(上海)自由贸易试验区临港新片区环湖西二路888号C楼,许可项目：各类工程建设活动。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：商业综合体管理服务，生产线管理服务，专业设计服务，供应链管理服务，工程管理服务，政府采购代理服务，品牌管理，企业管理，智能农业管理，人工智能应用软件开发，软件开发，第一类医疗器械、第二类医疗器械、建筑材料、生态环境材料、智能仓储装备、人工智能硬件、智能机器人、智能车载设备、食用农产品、化工产品（不含许可类化工产品）、日用百货、纸制品、日用口罩（非医用）、产业用纺织制成,上海,,浦东新区
仪征市福斯特机械制造有限责任公司,童华松,250万元人民币,2002/5/23,0514-83452954,0514-83458563；18852532086；0514-3462917；,1091323340@qq.com,91321081738283123P,有限责任公司(自然人投资或控股),专用设备制造业 ,仪征市泗源路6号,机械设备及配件、链条、活塞环、铸钢桨、冲压件制造、加工、销售；道路普通货物运输。（依法须经批准的项目，经相关部门批准的方可开展经营活动）,江苏,扬州市,仪征市
芜湖华铸汽车部件有限公司,潘凤华,300万元人民币,2014-5-19,13956164760,13655596556；,gsl77@sohu.com,91340221399543305E,有限责任公司(自然人独资),制造业,芜湖县安徽新芜经济开发区,汽车部件、摩托车部件制造、销售。,安徽,芜湖市,芜湖县
上海堡鞍消防科技有限公司,刘喜霞,800万元人民币,2015/6/4,13122276607,021-58387959；,,91310120342278141Q,有限责任公司（自然人投资或控股的法人独资）,研究和试验发展,上海市奉贤区南桥镇江海南路95弄2号1幢1143室-4,"从事消防科技领域内的技术开发、技术咨询、技术服务、技术转让,消防设施建设工程设计施工一体化,消防设施、电气设备检测,市场营销策划,消防设备、机械设备维修、批发、零售,管道设备及配件、水泵、机电设备、通讯设备、消防器材、五金交电、电子产品、一般劳防用品、制冷设备的批发、零售,从事货物进出口及技术进出口业务。",上海,上海市,
徐州奥汇新商贸有限公司,刘会,201万元人民币,2014/12/10,15062106279,15996927008；,15062106279@163.com,91320300324012825K,有限责任公司(自然人独资),批发业,徐州市鼓楼区好得家物资商城L区号楼1-136,玻璃制品、塑料制品、模具、日用品、电子产品、五金交电、建筑材料、家用电器、针纺织品、预包装食品、散装食品、润滑油、汽车配件、洗涤用品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）许可项目：各类工程建设活动；货物进出口；技术进出口；进出口代理（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：建筑陶瓷制品销售；卫生陶瓷制品销售；特种陶瓷制品销售；化妆品批发；化妆品零售；橡胶制品销售；金属材料销售；金属制品销售；第一类医疗器械销售；第二类医疗器械销售；,江苏,徐州市,鼓楼区
扬州春明机械有限公司,吴义明,1058万元人民币,2002/6/5,0514-84712040,15751659888；0514-84716598；,yzcm@yzcmjx.com,913210847382687162,有限责任公司(自然人投资或控股),专用设备制造业 ,高邮市汤庄镇,液压成套机械、阀门、化工机械、纺织机械、矿山机械、水泥机械、水利机械、电力机械、船舶机械、滚轮罐耳、标准件的设计、制造、加工、销售，机械设备安装、调试、检修。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,扬州市,高邮市
南京艾恩普商贸有限公司,周德英,300万元人民币,2017/7/3,13770721757,,171168482@QQ.COM,91320113MA1PB36M80,有限责任公司(自然人投资或控股),批发业,南京市栖霞区迈皋桥街道长营村15号1幢102室,家用电器、中央空调、暖通设备、空气净化设备、水处理设备、除尘设备、数码及电子产品、通讯设备、办公设备、五金交电、厨卫设备、锅炉设备、安防监控设备、计算机硬件和软件的销售、安装、维修、设计、技术服务；废旧物资回收；日用百货、服装、文化办公用品、塑料制品、橡胶制品、预包装食品（须取得许可或批准后方可经营）的销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,栖霞区
徐州云广家具有限公司,朱庚坤,200万元人民币,2014/7/3,18352277711,15250903301；13852228220；,4215@qq.com,91320324398228223K,有限责任公司(自然人独资),租赁业,徐州市睢宁县八里金属机电产业园中央大街东段延伸路南侧238号,家具生产、销售；服装、化妆品、日用百货、电子产品、手机配件销售；计算机软件研发与销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,睢宁县
昆山捷宝儿童用品有限公司,门寿圣,500万元人民币,2009/12/16,13013858571,0512-57472565；0512-36826487；0512-57462565；18962632595；,1308965071@qq.com,913205836993090195,有限责任公司(自然人投资或控股),批发业,昆山市千灯镇石浦利都路588号,婴幼儿用品的设计及销售；货物的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,苏州市,昆山市
南京菲达斯电气有限公司,张阁梅,200万元人民币,2017/9/22,18252364790,18205162342；,475988236@qq.com,91320113MA1R7MNT5Y,有限责任公司(自然人投资或控股),批发业,南京市栖霞区迈皋桥创业园科技研发基地寅春路18号-M1237,机电设备、消防设备、照明设备、五金机电、电气成套设备、电子元件、工业设备、智能监控系统的销售；计算机软硬件的技术开发、安装、维护；自营和代理各类商品及技术的进出口业务；电气成套设备及消防设备的生产；高低压电器及成套设备、仪器仪表、消防设备的销售及技术开发、技术咨询、技术服务；电力设备、计算机领域内的技术研发及技术咨询、技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,栖霞区
杭州鼎新建科实业有限公司,许文声,5080万元人民币,2014-3-19,13806524698,0571-61766969；0571-61766996；,,9133018309477679XA,有限责任公司(自然人投资或控股),其他制造业,杭州富阳区新登镇新登新区大建路8号,PE实壁管、PP实壁管、PVC电力（通信）管、玻璃钢（夹砂）管、玻璃钢储罐、玻璃钢化粪池、玻璃钢生化池制造，销售；市政公用工程施工。,浙江,杭州市,富阳区
南京锦煜博科技有限公司,蔡俊盛,1000万元人民币,2017/10/23,13390924563,,2851562271@qq.com,91320105MA1T5HJQ2G,有限责任公司(自然人独资),研究和试验发展,南京市建邺区江东中路222号奥体中心体育场东商业区一层52200室,许可项目：技术进出口；货物进出口；食品经营；废弃电器电子产品处理；各类工程建设活动；进出口代理；林木种子生产经营（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；纸制造；再生资源销售；专用化学产品销售（不含危险化学品）；纸制品销售；纸制品制造；工业设计服务；太阳能热发电产品销售；泵及真空设备销售；水泥制品销售；礼品花卉销售；电子专用设备制造；仪器仪表制造；噪声与振动控制服务；大气污染治理；水污染治理；环,江苏,南京市,建邺区
苏州维思德电器科技有限公司,江亚明,900万元人民币,2017-12-19,18362798093,18362798093；15370091481；,18362798093@qq.com,91320506MA1UR0B541,有限责任公司(自然人独资),电气机械和器材制造业 ,苏州市吴中区木渎镇枫瑞路168号2幢206号,研发、加工、销售：电器、汽车部件、自动化设备、金属制品、电子元器件、电子设备及配件；自营和代理各类商品及技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,苏州市,吴中区
南京思博装饰设计工程有限公司,陈伟,300万元人民币,2011/3/22,18652076620,,sty0617@163.com,91320106571551332E,有限责任公司(自然人投资或控股),建筑装饰、装修和其他建筑业,南京市鼓楼区山西路8号6层牛顿公园创智中心C9A室,家具设计；装饰工程、绿化工程、建筑工程的设计、施工；展览展示服务；图文设计、制作；家具、建材、五金交电、装饰品、厨房设备、卫生洁具销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,鼓楼区
南京泰之峰窗饰装饰工程有限公司,费秀永,501万元人民币,2004/4/5,18913856418,13057534192；025-83305109；025-85990920；,13057534192@139.com,91320105759469760N,有限责任公司(自然人投资或控股),建筑业,南京市建邺区莺歌苑84号202室,建筑装饰工程设计、施工；针纺织品、五金、日用百货、通讯器材、建材、电子产品、金属材料、办公用品、家具、计算机及辅助设备、门窗、装饰材料销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,建邺区
江苏玲悦昇环保科技有限公司,陈守范,1000万元人民币,2017/6/13,13813878863,,,91320105MA1P6PKC8P,有限责任公司(自然人投资或控股),研究和试验发展,南京市建邺区河西大街198号同进文化广场3单元1001室,环保技术研发、技术咨询、技术服务；环境监测；环境影响评价；辐射污染治理服务；环保设备、计算机软件研发、销售；仪器仪表销售、租赁；环境治理工程、市政工程、建筑工程、消防工程、园林景观工程设计、施工；会展服务；汽车租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,建邺区
江苏安邦新能源技术发展有限公司,陈伟,3000万元人民币,2014/6/24,18651886298,18151669108； 025-69876000； ,chwei1962@sina.com,9132010030258171X8,有限责任公司(自然人投资或控股),科技推广和应用服务业,南京市秦淮区中山东路18号13层C4座,新能源项目的技术开发、技术转让；节能环保新型材料的研发和销售；节能环保项目的投资、建设、管理、技术开发和技术转让；节能环保设备制造、安装、技术咨询、技术服务；自营和代理各类商品及技术的进出口（国家限定公司经营和禁止进出口的商品及技术除外）；节能环保项目的基金管理和咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏省,南京市,秦淮区
南京天鼠新材料科技有限公司,李向领,551万元人民币,2012/2/20,13584076303,15252477306；13951749573；13951039733；13801596048；,2111388408@qq.com,913201135894136917,有限责任公司(自然人独资),零售业,南京市栖霞区迈皋桥街道和燕路251号1幢1205房屋089室,通讯器材、数码产品、电子产品、数码配件、通讯设备、电讯器材、五金交电、日用百货、装潢材料、陶瓷制品、机械设备、仪器仪表、医疗器材、木板、板材、化工产品、金属材料、煤炭、焦炭销售；园林绿化工程、环保工程。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,栖霞区
江苏鼎华电缆有限公司,薛伏藏,1000万元人民币,2016/5/26,15162103000,,15162103000@163.com,91320300MA1MLG9R5R,有限责任公司(自然人独资),批发业,徐州市鼓楼区三环北路5号好得家物资商城J区1层102号,电线电缆、五金产品、个人职业安全防护用品、电器设备、轴承、磨具磨料、矿山用工程机械设备、化工产品（危险品除外）、钢材销售；电线电缆研发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,鼓楼区
平湖市光大制衣股份有限公司,姜爱林,200万元人民币,2000/3/9,0573-85901398,13906731668；13067632538；0573-85903182；13656832631；,,91330482721032213N,股份有限公司(非上市、自然人投资或控股),纺织服装、服饰业,平湖市林埭镇齐心村八组平廊公路南侧,一般项目：服装制造；日用口罩（非医用）生产；特种劳动防护用品生产；服装服饰批发；医用口罩批发；服装服饰零售；医用口罩零售；服装辅料销售；日用口罩（非医用）销售；特种劳动防护用品销售；熔喷布的生产和销售(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。许可项目：医用口罩生产；货物进出口；技术进出口；道路货物运输（不含危险货物）(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。,浙江,嘉兴市,平湖市
杭州至铭办公家具有限公司,曾志路,1008万元人民币,2014/7/28,15356127151,13958156146；0571-87383176；0571-86173550；,,913301053113130390,有限责任公司(自然人投资或控股),零售业,拱墅区古河巷64号201室,办公家具、五金、建筑材料、装饰材料、工艺品、日用百货的销售。,浙江,杭州市,拱墅区
